KeyGen Time (s),KeyGen Memory (KB),Encaps Time (s),Encaps Memory (KB),Decaps Time (s),Decaps Memory (KB)
1.898964,36632,0.032192,36632,0.179718,36632,
0.003679,36632,0.026952,36632,0.179845,36632,
0.002163,36632,0.029868,36632,0.169044,36632,
0.002192,36632,0.031612,36632,0.170353,36632,
0.002173,36632,0.029182,36632,0.173085,36632,
